Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
79,tt2093270,2017-01-19,2017-01-19,,The Returned,https://www.imdb.com/title/tt2093270/,movie,5.9,98,2013,"Crime, Drama, Sci-Fi, Thriller",7785,2013-10-18,Manuel Carballo
80,tt0457572,2017-01-19,2017-01-19,,Fido,https://www.imdb.com/title/tt0457572/,movie,6.7,93,2006,"Comedy, Drama, Horror, Sci-Fi",27167,2006-09-07,Andrew Currie
81,tt3499458,2017-01-19,2017-01-19,,Walking with the Dead,https://www.imdb.com/title/tt3499458/,movie,3.5,88,2015,"Comedy, Horror",2931,2015-03-15,Scott Dow
82,tt1226681,2017-01-19,2017-01-19,,Pontypool,https://www.imdb.com/title/tt1226681/,movie,6.6,93,2008,"Fantasy, Horror, Thriller",27006,2008-09-06,Bruce McDonald
83,tt4405860,2017-01-19,2017-01-19,,Dead 7,https://www.imdb.com/title/tt4405860/,movie,3.2,89,2016,"Comedy, Horror, Western",1129,2016-04-01,Danny Roew
84,tt1865346,2017-01-19,2017-01-19,,Detention of the Dead,https://www.imdb.com/title/tt1865346/,movie,4.6,87,2012,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",2424,2012-04-27,Alex Craig Mann
85,tt1781812,2017-01-19,2017-01-19,,Exit Humanity,https://www.imdb.com/title/tt1781812/,movie,5.3,114,2011,"Drama, Horror",4219,2011-09-18,John Geddes
86,tt2846938,2017-01-19,2017-01-19,,Me and My Mates vs. The Zombie Apocalypse,https://www.imdb.com/title/tt2846938/,movie,4.9,90,2015,"Comedy, Horror",449,2015-07-24,Declan Shrubb
87,tt2131532,2017-01-19,2017-01-19,,Hidden,https://www.imdb.com/title/tt2131532/,movie,6.4,84,2015,"Horror, Thriller",17668,2015-09-15,"Ross Duffer, Matt Duffer"
88,tt3339674,2017-01-19,2017-01-19,,Burying the Ex,https://www.imdb.com/title/tt3339674/,movie,5.4,89,2014,"Comedy, Horror, Romance",9184,2014-09-04,Joe Dante
89,tt1753753,2017-01-19,2017-01-19,,Eaters,https://www.imdb.com/title/tt1753753/,movie,4.1,94,2011,Horror,1304,2011-04-07,"Luca Boni, Marco Ristori"
90,tt1374989,2017-01-19,2017-01-19,,Pride and Prejudice and Zombies,https://www.imdb.com/title/tt1374989/,movie,5.8,108,2016,"Action, Comedy, Fantasy, Horror, Romance",46607,2016-01-21,Burr Steers
